Date,Actual_Inflation,Forecast_ARIMA,Forecast_Prophet,Forecast_RandomForest
2022-01-01,3.85,3.6822881103879963,4.074268694822016,3.7747232178932184
2022-02-01,3.86,3.636405168722007,4.084580524902477,3.781405003607503
2022-03-01,4.03,3.715649549086235,4.072596173791606,3.7638375127650123
2022-04-01,4.25,3.8555353792427596,4.070465124087634,3.97072125180375
2022-05-01,4.31,3.7775596114702106,4.091790099209119,4.144500699855701
2022-06-01,4.08,3.560413846000313,4.100088034250471,4.165836904761908
2022-07-01,3.91,3.5245180124775457,4.07913474936078,3.99273727813853
2022-08-01,4.01,3.421984045424943,4.032684927398959,3.8933470346320327
2022-09-01,4.3,3.600545558482457,4.034225496373561,4.010861818181818
2022-10-01,4.41,3.574315229724931,4.026373169926073,4.196284330808082
2022-11-01,4.38,3.3987040110245896,4.024337266352776,4.219994985569987
2022-12-01,4.53,3.467655792741974,4.0194385598690925,4.119555203823956
2023-01-01,4.52,3.492027714076719,4.010178634165384,4.178520402236654
2023-02-01,4.49,3.5131761329150804,4.026781171353645,4.158883021284275
2023-03-01,4.45,3.5313565459903344,3.9285798824227416,4.137722922077926
2023-04-01,4.46,3.523987141590899,3.98812945095275,4.1567817911255425
2023-05-01,4.49,3.535267542692484,4.022933535528456,4.1632793506493515
2023-06-01,4.72,3.5422877543181457,4.043606744093608,4.2222597222222245
2023-07-01,4.73,3.5835245975852406,4.065576781103204,4.219865853174605
2023-08-01,4.55,3.6211039557636404,4.020216740086036,4.186305719696971
2023-09-01,4.25,3.61359890698171,4.044837938489013,4.1652520436507965
2023-10-01,4.14,3.6676401726009136,4.072013523033808,4.050794965728717
2023-11-01,3.77,3.756242435484639,4.047974205325627,3.962662822871576
2023-12-01,3.75,3.726042185348984,4.0449286808462155,3.801521051587302
2024-01-01,3.77,3.7382858183164798,4.093271997957964,3.801593591269843
2024-02-01,3.56,3.733141627224123,4.1175884462411565,3.7719979166666677
2024-03-01,3.53,3.689781217585563,4.127564082763218,3.507027034493285
2024-04-01,3.26,3.6440904764702973,4.070948392854025,3.5022570344932866
2024-05-01,2.94,3.6574298611641245,4.085984425654148,3.4755198809523815
2024-06-01,2.92,3.7193046465638764,4.110707531353435,3.1633596428571424
2024-07-01,2.93,3.69991207678686,4.085258502796244,3.1792026190476177
2024-08-01,2.82,3.7049742994777954,4.115159311002572,3.2198122023809526
2024-09-01,3.0,3.6486840342850577,4.131137920473018,3.210896805555554
2024-10-01,3.08,3.6186088315264477,4.151209420611503,3.2265820508658005
2024-11-01,3.15,3.6145447497862877,4.201112641182502,3.219648360389609
2024-12-01,3.22,3.609729286976485,4.236498060990911,3.2529405230880233
